date,title,headline,news
"Jan. 18, 2021",Can the World Break Up With Fossil Fuels? Watch the Conversation.,The Times is hosting a series of virtual events ahead of global climate talks in November. This month’s topic: the demand for energy and what can be learned from the pandemic.,Can the World Break Up With Fossil Fuels? Watch the Conversation. The Times is hosting a series of virtual events ahead of global climate talks in November. This month’s topic: the demand for energy and what can be learned from the pandemic.
"Jan. 18, 2021",Businesses Aim to Pull Greenhouse Gases From the Air. It’s a Gamble.,A surge of corporate money could soon transform carbon removal from science fiction to reality. But there are risks: The very idea could offer industry an excuse to maintain dangerous habits.,Businesses Aim to Pull Greenhouse Gases From the Air. It’s a Gamble. A surge of corporate money could soon transform carbon removal from science fiction to reality. But there are risks: The very idea could offer industry an excuse to maintain dangerous habits.
"Jan. 14, 2021",How Sustainable Is the Rally in Renewable Energy Stocks?,Solar and wind power companies have soared in value. Are they in a bubble or in a virtuous upward cycle?,How Sustainable Is the Rally in Renewable Energy Stocks? Solar and wind power companies have soared in value. Are they in a bubble or in a virtuous upward cycle?
"Jan. 12, 2021",Covid-19 Took a Bite From U.S. Greenhouse Gas Emissions in 2020,"Emissions plunged more than 10 percent. If the trend can be sustained, it would put the United States within striking distance of one of its major goals under the Paris climate agreement.","Covid-19 Took a Bite From U.S. Greenhouse Gas Emissions in 2020 Emissions plunged more than 10 percent. If the trend can be sustained, it would put the United States within striking distance of one of its major goals under the Paris climate agreement."
"Jan. 4, 2021","Home Solar Is Growing, but Big Installers Are Still Losing Money",Some companies are having trouble surviving and making money installing panels because of intense competition and the high costs of doing business.,"Home Solar Is Growing, but Big Installers Are Still Losing Money Some companies are having trouble surviving and making money installing panels because of intense competition and the high costs of doing business."
"Dec. 21, 2020",A Plan by Eastern States to Cap Tailpipe Emissions Gets Off to a Slow Start,"Connecticut, Massachusetts, Rhode Island and Washington, D.C., all announced they would join a cap-and-trade program for cars and trucks. But many bigger states have yet to join.","A Plan by Eastern States to Cap Tailpipe Emissions Gets Off to a Slow Start Connecticut, Massachusetts, Rhode Island and Washington, D.C., all announced they would join a cap-and-trade program for cars and trucks. But many bigger states have yet to join."
"Dec. 21, 2020",Climate Change Legislation Included in Coronavirus Relief Deal,The legislation calls for cutting the use of powerful planet-warming chemicals common in air-conditioners and refrigerators.,Climate Change Legislation Included in Coronavirus Relief Deal The legislation calls for cutting the use of powerful planet-warming chemicals common in air-conditioners and refrigerators.
"Dec. 19, 2020",Biden Introduces His Climate Team,The president-elect said he has chosen a team that prioritizes making clean energy jobs and environmental protection a cornerstone of his economic plans.,Biden Introduces His Climate Team The president-elect said he has chosen a team that prioritizes making clean energy jobs and environmental protection a cornerstone of his economic plans.
"Dec. 16, 2020","China Battles the World’s Biggest Coal Exporter, and Coal Is Losing","China has officially blocked coal imports from Australia after months of vague restrictions. For Australia, the world’s largest coal exporter, the decision is a gut punch.","China Battles the World’s Biggest Coal Exporter, and Coal Is Losing China has officially blocked coal imports from Australia after months of vague restrictions. For Australia, the world’s largest coal exporter, the decision is a gut punch."
"Dec. 15, 2020",Biden’s Climate Team Begins to Take Shape,"The president-elect is expected to pick Gina McCarthy, a former E.P.A. chief, as White House climate coordinator. Jennifer Granholm, a former Michigan governor, is said to be his choice for the Energy Department.","Biden’s Climate Team Begins to Take Shape The president-elect is expected to pick Gina McCarthy, a former E.P.A. chief, as White House climate coordinator. Jennifer Granholm, a former Michigan governor, is said to be his choice for the Energy Department."
"Dec. 15, 2020","Biden to Pick Jennifer Granholm, Former Michigan Governor, for Energy Secretary",Ms. Granholm is widely credited with steering her state through a recession and working with the Obama administration on a bailout of the automobile industry.,"Biden to Pick Jennifer Granholm, Former Michigan Governor, for Energy Secretary Ms. Granholm is widely credited with steering her state through a recession and working with the Obama administration on a bailout of the automobile industry."
"Dec. 15, 2020","To Cut Emissions to Zero, U.S. Needs to Make Big Changes in Next 10 Years",New research details major infrastructure work — including immense construction projects — that would need to start right away to achieve Biden’s goal of zero emissions by 2050.,"To Cut Emissions to Zero, U.S. Needs to Make Big Changes in Next 10 Years New research details major infrastructure work — including immense construction projects — that would need to start right away to achieve Biden’s goal of zero emissions by 2050."
"Dec. 10, 2020",‘Is Exxon a Survivor?’ The Oil Giant Is at a Crossroads.,Exxon Mobil is struggling to find its footing as demand for oil and gas falls and world leaders and businesses pledge to fight climate change.,‘Is Exxon a Survivor?’ The Oil Giant Is at a Crossroads. Exxon Mobil is struggling to find its footing as demand for oil and gas falls and world leaders and businesses pledge to fight climate change.
"Dec. 9, 2020","Earth Is Still Sailing Into Climate Chaos, Report Says, but Its Course Could Shift","The biggest polluters are continuing to pollute, raising the risks of global warming. There are, however, new signs of a pivot to a green economy.","Earth Is Still Sailing Into Climate Chaos, Report Says, but Its Course Could Shift The biggest polluters are continuing to pollute, raising the risks of global warming. There are, however, new signs of a pivot to a green economy."
"Dec. 3, 2020",Meet Biden’s Energy and Climate Cabinet Contenders,President-elect Joseph R. Biden Jr.'s energy and environment team will have the difficult task of crafting climate policies that can bypass Congress and survive judicial review.,Meet Biden’s Energy and Climate Cabinet Contenders President-elect Joseph R. Biden Jr.'s energy and environment team will have the difficult task of crafting climate policies that can bypass Congress and survive judicial review.
"Dec. 3, 2020",Oil Refineries See Profit in Turning Kitchen Grease Into Diesel,"Struggling energy companies are increasing the production of renewable diesel, which can reduce greenhouse gas emissions.","Oil Refineries See Profit in Turning Kitchen Grease Into Diesel Struggling energy companies are increasing the production of renewable diesel, which can reduce greenhouse gas emissions."
"Nov. 25, 2020",Outdoor Heaters Seem Like a Huge Waste. Are They Really?,Here are facts about heaters (for outside and inside) and climate change.,Outdoor Heaters Seem Like a Huge Waste. Are They Really? Here are facts about heaters (for outside and inside) and climate change.
"Nov. 23, 2020","With John Kerry Pick, Biden Selects a ‘Climate Envoy’ With Stature","Mr. Biden said he would name Mr. Kerry to a cabinet-level climate post, a role laden with political and diplomatic challenges in the post-Trump era.","With John Kerry Pick, Biden Selects a ‘Climate Envoy’ With Stature Mr. Biden said he would name Mr. Kerry to a cabinet-level climate post, a role laden with political and diplomatic challenges in the post-Trump era."
"Nov. 23, 2020",G.M. Drops Its Support for Trump Climate Rollbacks and Aligns With Biden,General Motors said it would no longer back President Trump’s effort to strip California of the power to set fuel economy standards.,G.M. Drops Its Support for Trump Climate Rollbacks and Aligns With Biden General Motors said it would no longer back President Trump’s effort to strip California of the power to set fuel economy standards.
"Nov. 17, 2020",Biden Plans to Move Fast With a ‘Climate Administration.’ Here’s How.,"President-elect Joseph R. Biden Jr. will embed climate policy throughout his government, not only in environmental agencies but in departments like justice, defense, the Treasury and transportation.","Biden Plans to Move Fast With a ‘Climate Administration.’ Here’s How. President-elect Joseph R. Biden Jr. will embed climate policy throughout his government, not only in environmental agencies but in departments like justice, defense, the Treasury and transportation."
"Nov. 13, 2020",Biden Wants to Be the Climate President. He’ll Need Some Help From Xi Jinping.,"The U.S.-China relationship is at its lowest point in a half century, but there are also converging interests on global warming.","Biden Wants to Be the Climate President. He’ll Need Some Help From Xi Jinping. The U.S.-China relationship is at its lowest point in a half century, but there are also converging interests on global warming."
"Nov. 9, 2020",Trump Administration Removes Scientist in Charge of Assessing Climate Change,"Michael Kuperberg was told he would no longer oversee the National Climate Assessment. The job is expected to go to a climate-change skeptic, according to people familiar with the changes.","Trump Administration Removes Scientist in Charge of Assessing Climate Change Michael Kuperberg was told he would no longer oversee the National Climate Assessment. The job is expected to go to a climate-change skeptic, according to people familiar with the changes."
"Nov. 8, 2020",9 Things the Biden Administration Could Do Quickly on the Environment,The first 100 days of the Biden administration are likely to see a flurry of executive actions on climate change.,9 Things the Biden Administration Could Do Quickly on the Environment The first 100 days of the Biden administration are likely to see a flurry of executive actions on climate change.
"Nov. 4, 2020",The U.S. Left the Paris Climate Pact. Allies and Rivals Are Pressing Ahead.,"The American exit officially took effect Wednesday. If Joseph R. Biden Jr. wins the election and rejoins the pact, the United States will have a lot of catching up to do.","The U.S. Left the Paris Climate Pact. Allies and Rivals Are Pressing Ahead. The American exit officially took effect Wednesday. If Joseph R. Biden Jr. wins the election and rejoins the pact, the United States will have a lot of catching up to do."
"Oct. 27, 2020","Robert Murray, Coal Baron With Clout, Dies at 80","The son of a coal miner, he built a sprawling company, fought government regulations and wielded considerable political influence as a Trump ally.","Robert Murray, Coal Baron With Clout, Dies at 80 The son of a coal miner, he built a sprawling company, fought government regulations and wielded considerable political influence as a Trump ally."
"Oct. 26, 2020",How the Virus Slowed the Booming Wind Energy Business,Renewable energy developers have struggled to finish projects as the pandemic disrupts construction and global supply chains.,How the Virus Slowed the Booming Wind Energy Business Renewable energy developers have struggled to finish projects as the pandemic disrupts construction and global supply chains.
"Oct. 25, 2020",Biden Pledges Ambitious Climate Action. Here’s What He Could Actually Do.,"If elected, Joe Biden and his allies are preparing to pass climate change legislation, piece by piece — knowing full well that the candidate’s $2 trillion plan would be a tough sell.","Biden Pledges Ambitious Climate Action. Here’s What He Could Actually Do. If elected, Joe Biden and his allies are preparing to pass climate change legislation, piece by piece — knowing full well that the candidate’s $2 trillion plan would be a tough sell."
"Oct. 23, 2020","Oil Industry Expresses Concern, Not Alarm, About Biden Comments","After the candidate called for a “transition” away from oil and gas, executives said the country would need fossil fuels for decades to come.","Oil Industry Expresses Concern, Not Alarm, About Biden Comments After the candidate called for a “transition” away from oil and gas, executives said the country would need fossil fuels for decades to come."
"Oct. 23, 2020",A Debate Pledge to ‘Transition’ From Oil Puts Climate at Center of Campaign Finale,"Joseph R. Biden Jr.'s debate statement that he would ""transition"" the country away from oil gave President Trump an opening and thrust climate change center stage.","A Debate Pledge to ‘Transition’ From Oil Puts Climate at Center of Campaign Finale Joseph R. Biden Jr.'s debate statement that he would ""transition"" the country away from oil gave President Trump an opening and thrust climate change center stage."
"Oct. 19, 2020",Oil Industry Turns to Mergers and Acquisitions to Survive,"With the price of a barrel stuck around $40 and no recovery in sight, companies are combining to cut costs and ride out the pandemic.","Oil Industry Turns to Mergers and Acquisitions to Survive With the price of a barrel stuck around $40 and no recovery in sight, companies are combining to cut costs and ride out the pandemic."
"Oct. 13, 2020",Trump’s ‘Frack’ Attack on Biden Seems to Be Falling Short,"President Trump has made fracking a ""Hail Mary"" attack on Joe Biden in the industrial Midwest, but three weeks before Election Day, it does not seem to be working.","Trump’s ‘Frack’ Attack on Biden Seems to Be Falling Short President Trump has made fracking a ""Hail Mary"" attack on Joe Biden in the industrial Midwest, but three weeks before Election Day, it does not seem to be working."
"Oct. 13, 2020","Environmentalists and Dam Operators, at War for Years, Start Making Peace","Facing a climate crisis, environmental groups and industry agree to work together to bolster hydropower while reducing harm from dams.","Environmentalists and Dam Operators, at War for Years, Start Making Peace Facing a climate crisis, environmental groups and industry agree to work together to bolster hydropower while reducing harm from dams."
"Oct. 5, 2020","‘The Coal Industry Is Back,’ Trump Proclaimed. It Wasn’t.","The demise of coal-fired power plants in Arizona and Kentucky shows how the president, despite promises to restore jobs, failed to counter the forces decimating the industry.","‘The Coal Industry Is Back,’ Trump Proclaimed. It Wasn’t. The demise of coal-fired power plants in Arizona and Kentucky shows how the president, despite promises to restore jobs, failed to counter the forces decimating the industry."
"Sept. 29, 2020",How Coal-Loving Australia Became the Leader in Rooftop Solar,"Embracing solar panels to save money, homeowners have made the country a powerhouse in renewable energy.","How Coal-Loving Australia Became the Leader in Rooftop Solar Embracing solar panels to save money, homeowners have made the country a powerhouse in renewable energy."
"Sept. 25, 2020","At Climate Week, America’s Cascading Disasters Dominate",This year’s events come amid a climate reckoning in the world’s richest country. Here are the takeaways.,"At Climate Week, America’s Cascading Disasters Dominate This year’s events come amid a climate reckoning in the world’s richest country. Here are the takeaways."
"Sept. 22, 2020","China, in Pointed Message to U.S., Tightens Its Climate Targets","President Xi Jinping pledged, among other goals, to achieve “carbon neutrality by 2060.” It was China’s boldest promise yet on climate change.","China, in Pointed Message to U.S., Tightens Its Climate Targets President Xi Jinping pledged, among other goals, to achieve “carbon neutrality by 2060.” It was China’s boldest promise yet on climate change."
"Sept. 22, 2020",Democratic Donors Push Biden for a Cabinet Free of Fossil Fuel Connections,A group of more than 60 donors is urging Joe Biden to renounce advisers with ties to the fossil fuel industry.,Democratic Donors Push Biden for a Cabinet Free of Fossil Fuel Connections A group of more than 60 donors is urging Joe Biden to renounce advisers with ties to the fossil fuel industry.
"Sept. 21, 2020",U.S. and European Oil Giants Go Different Ways on Climate Change,"While BP and other European companies invest billions in renewable energy, Exxon and Chevron are committed to fossil fuels and betting on moonshots.","U.S. and European Oil Giants Go Different Ways on Climate Change While BP and other European companies invest billions in renewable energy, Exxon and Chevron are committed to fossil fuels and betting on moonshots."
"Sept. 13, 2020","In Visiting a Charred California, Trump Confronts a Scientific Reality He Denies",A president who has mocked climate change and pushed policies that accelerate it is set to be briefed on the scorched earth and ash-filled skies that experts say are the predictable result.,"In Visiting a Charred California, Trump Confronts a Scientific Reality He Denies A president who has mocked climate change and pushed policies that accelerate it is set to be briefed on the scorched earth and ash-filled skies that experts say are the predictable result."
"Sept. 12, 2020",A Secret Recording Reveals Oil Executives’ Private Views on Climate Change,"At a meeting last year, industry leaders contradicted public claims that emissions of climate-warming methane are under control","A Secret Recording Reveals Oil Executives’ Private Views on Climate Change At a meeting last year, industry leaders contradicted public claims that emissions of climate-warming methane are under control"
"Sept. 3, 2020","Its Electric Grid Under Strain, California Turns to Batteries","When demand exceeded supply in a recent heat wave, electricity stored at businesses and even homes was called into service. With proper management, batteries could have made up for an offline gas plant.","Its Electric Grid Under Strain, California Turns to Batteries When demand exceeded supply in a recent heat wave, electricity stored at businesses and even homes was called into service. With proper management, batteries could have made up for an offline gas plant."
"Aug. 31, 2020",E.P.A. Relaxes Rules Limiting Toxic Waste From Coal Plants,"The agency weakened Obama-era rules meant to keep metals and other pollution out of rivers and streams, saving industry tens of millions of dollars.","E.P.A. Relaxes Rules Limiting Toxic Waste From Coal Plants The agency weakened Obama-era rules meant to keep metals and other pollution out of rivers and streams, saving industry tens of millions of dollars."
"Aug. 20, 2020",Poor Planning Left California Short of Electricity in a Heat Wave,Scores of power plants were down or operating below their capacity just as hot weather drove up demand.,Poor Planning Left California Short of Electricity in a Heat Wave Scores of power plants were down or operating below their capacity just as hot weather drove up demand.
"Aug. 17, 2020",Europe’s Big Oil Companies Are Turning Electric,"Under pressure from governments and investors, industry leaders like BP and Shell are accelerating their production of cleaner energy.","Europe’s Big Oil Companies Are Turning Electric Under pressure from governments and investors, industry leaders like BP and Shell are accelerating their production of cleaner energy."
"Aug. 10, 2020",Delta Air Lines Bought an Oil Refinery. It Didn’t Go as Planned.,Delta’s foray into oil refining illustrates some of the reasons the business was in trouble even before the pandemic.,Delta Air Lines Bought an Oil Refinery. It Didn’t Go as Planned. Delta’s foray into oil refining illustrates some of the reasons the business was in trouble even before the pandemic.
"Aug. 4, 2020",BP Reports a Huge Loss and Vows to Increase Renewable Investment,The European oil giant has plans for a future with more electrical generation.,BP Reports a Huge Loss and Vows to Increase Renewable Investment The European oil giant has plans for a future with more electrical generation.
"July 28, 2020",Oil and Gas Groups See ‘Some Common Ground’ in Biden Energy Plan,Some energy executives are pleased that the former vice president is not calling for a fracking ban and said they could work with him.,Oil and Gas Groups See ‘Some Common Ground’ in Biden Energy Plan Some energy executives are pleased that the former vice president is not calling for a fracking ban and said they could work with him.
"July 21, 2020","Big Tech Has a Big Climate Problem. Now, It’s Being Forced to Clean Up.","Apple said on Tuesday its devices would be carbon-neutral by 2030, making it the latest tech giant to ramp up voluntary climate targets.","Big Tech Has a Big Climate Problem. Now, It’s Being Forced to Clean Up. Apple said on Tuesday its devices would be carbon-neutral by 2030, making it the latest tech giant to ramp up voluntary climate targets."
"July 14, 2020",G.A.O.: Trump Boosts Deregulation by Undervaluing Cost of Climate Change,The Government Accountability Office has found that the Trump administration is undervaluing the cost of climate change to boost its deregulatory efforts.,G.A.O.: Trump Boosts Deregulation by Undervaluing Cost of Climate Change The Government Accountability Office has found that the Trump administration is undervaluing the cost of climate change to boost its deregulatory efforts.
"July 12, 2020","Fracking Firms Fail, Rewarding Executives and Raising Climate Fears","Oil and gas companies are hurtling toward bankruptcy, raising fears that wells will be left leaking planet-warming pollutants, with cleanup costs left to taxpayers.","Fracking Firms Fail, Rewarding Executives and Raising Climate Fears Oil and gas companies are hurtling toward bankruptcy, raising fears that wells will be left leaking planet-warming pollutants, with cleanup costs left to taxpayers."
"July 8, 2020",Is This the End of New Pipelines?,"Defeats at three projects reflect increasingly sophisticated legal challenges, shifting economics and growing demands by states to fight climate change.","Is This the End of New Pipelines? Defeats at three projects reflect increasingly sophisticated legal challenges, shifting economics and growing demands by states to fight climate change."
"July 6, 2020",Solar Deal Would Create a New Industry Giant,"Sunrun is acquiring Vivint in an all-stock deal, valued at $3.2 billion, leaving Tesla further behind as a provider of residential solar panels and batteries.","Solar Deal Would Create a New Industry Giant Sunrun is acquiring Vivint in an all-stock deal, valued at $3.2 billion, leaving Tesla further behind as a provider of residential solar panels and batteries."
"July 6, 2020",The Next Energy Battle: Renewables vs. Natural Gas,"As coal declines and wind and solar energy rise, some are pushing to limit the use of natural gas, but utilities say they are not ready to do so.","The Next Energy Battle: Renewables vs. Natural Gas As coal declines and wind and solar energy rise, some are pushing to limit the use of natural gas, but utilities say they are not ready to do so."
"June 30, 2020","With Much of the World’s Economy Slowed Down, Green Energy Powers On",Wind giants are trying to shrug off the effects of the pandemic.,"With Much of the World’s Economy Slowed Down, Green Energy Powers On Wind giants are trying to shrug off the effects of the pandemic."
"June 29, 2020",Democrats Detail a Climate Agenda Tying Environment to Racial Justice,"The policy road map, expected on Tuesday, could guide the party if it gains control of Congress and the White House in November.","Democrats Detail a Climate Agenda Tying Environment to Racial Justice The policy road map, expected on Tuesday, could guide the party if it gains control of Congress and the White House in November."
"June 24, 2020",Projects to Stash Carbon Dioxide Underground Get a Boost,"The government, after years of delays, is finally clarifying rules on tax breaks for companies that use carbon capture to fight climate change.","Projects to Stash Carbon Dioxide Underground Get a Boost The government, after years of delays, is finally clarifying rules on tax breaks for companies that use carbon capture to fight climate change."
"June 17, 2020","In 5 Countries, Overwhelming Majorities Want Cleaner Air, Poll Finds",A new survey in five countries found significant support for stricter air quality regulations and enforcement of existing rules.,"In 5 Countries, Overwhelming Majorities Want Cleaner Air, Poll Finds A new survey in five countries found significant support for stricter air quality regulations and enforcement of existing rules."
"June 11, 2020","As Energy Prices Tumble, Developing Countries Trim Subsidies","Trying to cut spending as the pandemic reduces tax revenue, governments are finding it easier to lift restraints on what consumers pay for fuel.","As Energy Prices Tumble, Developing Countries Trim Subsidies Trying to cut spending as the pandemic reduces tax revenue, governments are finding it easier to lift restraints on what consumers pay for fuel."
"June 4, 2020",U.K. Finds That Green Business Is Good Business,"With a boom in wind power and a drop in carbon-dioxide emissions, the island nation has found success in clean energy.","U.K. Finds That Green Business Is Good Business With a boom in wind power and a drop in carbon-dioxide emissions, the island nation has found success in clean energy."
"June 4, 2020",A New Weapon Against Climate Change May Float,The wind power industry sees an opportunity in allowing wind turbines to be pushed into deeper water.,A New Weapon Against Climate Change May Float The wind power industry sees an opportunity in allowing wind turbines to be pushed into deeper water.
"May 29, 2020",Economic Giants Are Restarting. Here’s What It Means for Climate Change.,"Want to know whether the world can avert catastrophe? Watch the recovery plans coming out now in Europe, China and the United States.","Economic Giants Are Restarting. Here’s What It Means for Climate Change. Want to know whether the world can avert catastrophe? Watch the recovery plans coming out now in Europe, China and the United States."
"May 22, 2020",Reduced Demand for Electricity Leads to Power Giveaways,The pandemic is turning energy markets upside-down. Some consumers will get paid for using electricity.,Reduced Demand for Electricity Leads to Power Giveaways The pandemic is turning energy markets upside-down. Some consumers will get paid for using electricity.
"May 13, 2020","In a First, Renewable Energy Is Poised to Eclipse Coal in U.S.","The coronavirus has pushed the coal industry to once-unthinkable lows, and the consequences for climate change are big.","In a First, Renewable Energy Is Poised to Eclipse Coal in U.S. The coronavirus has pushed the coal industry to once-unthinkable lows, and the consequences for climate change are big."
"May 11, 2020",Natural Gas Exports Slow as Pandemic Reduces Global Demand,"Businesses in the United States, Israel and other countries were planning to invest billions in export terminals. Now, those projects are being canceled or delayed.","Natural Gas Exports Slow as Pandemic Reduces Global Demand Businesses in the United States, Israel and other countries were planning to invest billions in export terminals. Now, those projects are being canceled or delayed."
